Category,Year,Commencements
Postgraduate (Research),2017,9083
Postgraduate (Other),2017,90992
Bachelor,2017,262787
Sub-Bachelor,2017,25248
Enabling,2017,22057
Non-award/Microcredentials,2017,6204
Total,2017,416371
Postgraduate (Research),2018,8730
Postgraduate (Other),2018,90125
Bachelor,2018,259547
Sub-Bachelor,2018,23352
Enabling,2018,21673
Non-award/Microcredentials,2018,5943
Total,2018,409370
Postgraduate (Research),2019,8484
Postgraduate (Other),2019,94214
Bachelor,2019,252904
Sub-Bachelor,2019,23191
Enabling,2019,23814
Non-award/Microcredentials,2019,5595
Total,2019,408202
Postgraduate (Research),2020,9114
Postgraduate (Other),2020,119187
Bachelor,2020,256728
Sub-Bachelor,2020,32066
Enabling,2020,25641
Non-award/Microcredentials,2020,6959
Total,2020,449695
Postgraduate (Research),2021,8604
Postgraduate (Other),2021,121708
Bachelor,2021,259539
Sub-Bachelor,2021,31363
Enabling,2021,19388
Non-award/Microcredentials,2021,6238
Total,2021,446840
Postgraduate (Research),2022,7451
Postgraduate (Other),2022,103972
Bachelor,2022,236941
Sub-Bachelor,2022,30168
Enabling,2022,16193
Non-award/Microcredentials,2022,5624
Total,2022,400349
Postgraduate (Research),2023,6945
Postgraduate (Other),2023,105765
Bachelor,2023,230938
Sub-Bachelor,2023,31455
Enabling,2023,14585
Non-award/Microcredentials,2023,6453
Total,2023,396141
Postgraduate (Research),2024,7231
Postgraduate (Other),2024,111376
Bachelor,2024,236771
Sub-Bachelor,2024,33512
Enabling,2024,16718
Non-award/Microcredentials,2024,7256
Total,2024,413133
